quote_date,expire_date,dte,a,b,rho,m,sigma
2023-12-29,2024-01-12,14.0,0.00016696021447717155,0.012053767964765183,-0.5334631263468994,0.0060916543442930075,0.01567276201983357
2023-12-29,2024-01-16,18.0,0.00018520734365155792,0.013216468113542913,-0.5300448167463471,0.007198633949827633,0.017270640091211997
2023-12-29,2024-01-17,19.0,0.0002005307739170127,0.013495736516096502,-0.5334646510114945,0.01107979648661034,0.017567310670757744
2023-12-29,2024-01-18,20.0,0.00020077275391686646,0.013503872132508454,-0.5334646510114945,0.011086483200705266,0.01757791263298819
2023-12-29,2024-01-19,21.0,0.00023759400537430033,0.013554969389187984,-0.5351762698059778,0.00833007027221301,0.017760917776857635
2023-12-29,2024-01-22,24.0,0.00025296602910204437,0.014452171742593998,-0.5334071368844193,0.01038791063008027,0.01930957295163718
2023-12-29,2024-01-23,25.0,0.00024915113725494463,0.015042084226677634,-0.5334646510114945,0.012351002279962577,0.019582841111707005
2023-12-29,2024-01-24,26.0,0.00028477196132341596,0.0156588532949361,-0.5334512541785669,0.011275207615355446,0.02076849832166188
2023-12-29,2024-01-26,28.0,0.0002913410875896174,0.016847545450919866,-0.5381360512016625,0.010979735622294998,0.0246223789434747
2023-12-29,2024-01-29,31.0,0.0003217685536841209,0.01709245050609026,-0.5334646510114945,0.014037397935465235,0.0222566660713832
2023-12-29,2024-01-31,33.0,0.0004030261054419988,0.01791015999742586,-0.5182986188879497,0.009801256364289336,0.02355938758576184
2023-12-29,2024-02-02,35.0,0.0004405301615229713,0.019335537931044623,-0.533119897248019,0.014439962000052878,0.02538361928193969
2023-12-29,2024-02-05,38.0,0.0004812707483498203,0.020418868094058153,-0.4957621617773921,0.013736897038390568,0.025365155296504977
2023-12-29,2024-02-09,42.0,0.0005393251125053596,0.0220673441802503,-0.5332886350151703,0.017950592238954798,0.028741915861087257
2023-12-29,2024-02-12,45.0,0.0005390918936741072,0.02211730283573743,-0.5334646510114945,0.01817514905075748,0.028817180012993614
2023-12-29,2024-02-16,49.0,0.0005456236635857388,0.023588516479221843,-0.4692419307648171,0.018748602943235278,0.03627287917613574
2023-12-29,2024-02-29,62.0,0.0007102399843562653,0.02709759712947302,-0.46887608505793393,0.016267313019495112,0.04260866003830132
2023-12-29,2024-03-15,76.96,0.0006739898535421798,0.03080149472620194,-0.4720552804983322,0.022771159067002597,0.053713793632563664
2023-12-29,2024-03-28,89.96,0.001277736425511156,0.03493381110918904,-0.48341847310138375,0.025357097922215095,0.04577131375461818
2023-12-29,2024-04-19,111.96,0.0009132645297439518,0.042112190930744295,-0.5290290975398231,0.024004506708388013,0.0676599512760948
2023-12-29,2024-04-30,122.96,0.0019221066084632887,0.043767034331629075,-0.5266301855511822,0.02259673183487047,0.05691918898337605
2023-12-29,2024-05-17,139.96,0.0019127243767323417,0.046465046087664365,-0.5132570021032566,0.03663357082936382,0.06292446326724588
2023-12-29,2024-05-31,153.96,0.0026819586233993156,0.0510856213560339,-0.5172627803532637,0.02553131323732799,0.06555857980746856
2023-12-29,2024-06-21,174.96,0.0017518910854874184,0.05932951207681708,-0.48732082653444225,0.04007236769312627,0.08874190725923152
2023-12-29,2024-06-28,181.96,0.003003538554248375,0.05523227267364998,-0.5185739416722474,0.04234230895379679,0.07377177888018213
2023-12-29,2024-07-19,202.96,0.003029727319519843,0.06226851799332553,-0.5381667270359956,0.0409926658544643,0.0800814014104998
2023-12-29,2024-08-16,230.96,0.003429447679613582,0.06776375978683301,-0.5237083379098948,0.0503312127505005,0.0823545964093313
2023-12-29,2024-09-20,265.96,0.005003555098235986,0.06939371579062914,-0.5256064760359973,0.05615652662155291,0.09160129761412622
2023-12-29,2024-09-30,275.96,0.005372058713034378,0.07235364457353324,-0.5327871669987367,0.05802502329028145,0.09354751114570933
2023-12-29,2024-10-18,293.96,0.005097996991843433,0.07871641781307342,-0.5346779146186162,0.0557840547044269,0.09915961035879742
2023-12-29,2024-11-15,322.0,0.0051416659067008985,0.08357795528980744,-0.5241214115819388,0.06571618793525366,0.11489200771001365
2023-12-29,2024-12-20,357.0,0.008192878054091177,0.08628248375938052,-0.5278450367492799,0.0762543672594323,0.09998428108568311
2023-12-29,2025-01-17,385.0,0.007398100739155037,0.09069345987526188,-0.4933550642101851,0.08930798449006896,0.10640837851457538
2023-12-29,2025-03-21,447.96,0.010130369435838239,0.10061185785630675,-0.4863967527534721,0.09374771071797876,0.10178003991004905
2023-12-29,2025-06-20,538.96,0.001310405063734656,0.1569930162988898,-0.0016666630052012547,0.19691852588878467,0.118401445151986
