quote_date,expire_date,dte,a,b,rho,m,sigma
2023-12-29,2024-01-12,14.0,0.00014225764477963527,0.011457334652441172,-0.5897390515605053,0.009152442131832608,0.01559079536957537
2023-12-29,2024-01-16,18.0,0.00015577040355741305,0.012933030182900073,-0.5920317281922113,0.008029464474764748,0.01912967743090934
2023-12-29,2024-01-17,19.0,8.385338228473041e-05,0.012983337966280428,-0.589743750982749,0.012552798465540443,0.01758894511542882
2023-12-29,2024-01-18,20.0,0.00018290425148909797,0.01297512424886512,-0.589736586739247,0.012659510854719365,0.017559754796721786
2023-12-29,2024-01-19,21.0,0.00021027017871852533,0.01298142664191085,-0.5895787721025607,0.010237507277878765,0.018936977910126416
2023-12-29,2024-01-22,24.0,0.00020908715779187004,0.013841206159818653,-0.5897406911169114,0.01365836860936124,0.018703810862132964
2023-12-29,2024-01-23,25.0,0.00022713773647801868,0.014426412939267082,-0.5897406762157502,0.014236633142754735,0.01949568804528781
2023-12-29,2024-01-24,26.0,0.000267263547685796,0.01500038248481539,-0.5896379253296526,0.012258671336705647,0.02138459165744766
2023-12-29,2024-01-26,28.0,0.0002976937493481861,0.015877693440644002,-0.5893988087603282,0.014178264477413818,0.0218099768933283
2023-12-29,2024-01-29,31.0,0.00029333914249338476,0.016392857893158183,-0.5897406762157502,0.016180491279666965,0.022157613197220344
2023-12-29,2024-01-31,33.0,0.0003897405415476746,0.016995231854906225,-0.5897327275638846,0.01328172382011086,0.02394487092770811
2023-12-29,2024-02-02,35.0,0.00040199986047420426,0.01853557880878633,-0.5887640919430728,0.016851900704542927,0.025188361961126365
2023-12-29,2024-02-05,38.0,0.0005048201643982477,0.018839834142975336,-0.5843519565330056,0.011464697258191839,0.027337451313295784
2023-12-29,2024-02-09,42.0,0.0004921385846715007,0.02116171638740219,-0.5895726793264443,0.02075364290069325,0.02861435331011011
2023-12-29,2024-02-12,45.0,0.0005292935817712121,0.02126368530433057,-0.5897247796864024,0.019602394720236574,0.028711201260065107
2023-12-29,2024-02-16,49.0,0.0007209689436790915,0.02337062417891892,-0.589724778818839,0.018328613777169555,0.0330080469975837
2023-12-29,2024-02-29,62.0,0.0010895356507126903,0.023939637071125883,-0.5828042056312748,0.015971872667835504,0.03506059832074455
2023-12-29,2024-03-15,76.96,0.0010891878969704245,0.030270464009176414,-0.5551954170744889,0.02301085475371105,0.04041727929822453
2023-12-29,2024-03-28,89.96,0.0013213231826322775,0.0330770653783853,-0.5897044920691709,0.029138202064305677,0.04503962002847648
2023-12-29,2024-04-19,111.96,0.0016413363511577352,0.0376299444599238,-0.5680724096887538,0.029318891111287684,0.053870042092389346
2023-12-29,2024-04-30,122.96,0.0013211843229916417,0.04264031263372505,-0.6161707604882266,0.018576523563823007,0.07434360856898087
2023-12-29,2024-05-17,139.96,0.001615831250406829,0.04529195751666326,-0.6346454641678878,0.025418017446117748,0.07919043420631316
2023-12-29,2024-05-31,153.96,0.0021656054639426045,0.04703383697360822,-0.5544656516390307,0.044067359001017936,0.06449394018328976
2023-12-29,2024-06-21,174.96,0.0027686645420634867,0.050508520172012544,-0.5893685232117732,0.047986775586991555,0.06841647183531656
2023-12-29,2024-06-28,181.96,0.0027417397064572846,0.05305186655916538,-0.5782536250466267,0.0446671841457947,0.07700197224887424
2023-12-29,2024-07-19,202.96,0.001572999615148598,0.059981570554384855,-0.5781470189831973,0.04746791789904983,0.10104855277585814
2023-12-29,2024-08-16,230.96,0.0028689816742830114,0.0652821344616758,-0.5827141159787633,0.04794470642224658,0.09541385094430824
2023-12-29,2024-09-20,265.96,0.004293224530418801,0.06759420151434022,-0.5913123563286097,0.06082642560209679,0.09257629487376694
2023-12-29,2024-09-30,275.96,0.004923757047068241,0.06869040420861183,-0.584416549103322,0.06679466947743372,0.08491078379430651
2023-12-29,2024-10-18,293.96,0.005000985837301591,0.0718453877189478,-0.5646889004303162,0.07393238237375467,0.09066243332837465
2023-12-29,2024-11-15,322.0,0.003731027437995732,0.0796715757547053,-0.5700939477487623,0.08340546688403178,0.11861393842944441
2023-12-29,2024-12-20,357.0,0.006853859016572995,0.08302566794927521,-0.5829989338902841,0.08403275680983359,0.1053079244646505
2023-12-29,2025-01-17,385.0,0.006714628670931847,0.08710144370556422,-0.5575230654618524,0.08663203408453451,0.12184597809866525
2023-12-29,2025-03-21,447.96,0.006154073536649093,0.09673259973369383,-0.5303352114816375,0.11503755577980043,0.12945424579391365
2023-12-29,2025-06-20,538.96,0.012967794957622436,0.12510254754785094,-0.2245659070097356,0.1406183793616799,0.08412055990013739
